"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"delta_y[1086]",5456.91883008988,0.0115534705156267,0.707283419533057,5455.47489042907,5456.42412976014,5456.96252957624,5457.49240993694,5458.03456581484,3747.67596789066,0.999582321636538
"delta_y[1087]",5454.40399549077,0.0110419756191897,0.605686968582452,5453.15260150043,5454.02206120556,5454.42829691348,5454.8098057041,5455.55725289017,3008.86631278447,1.00097711076567
"delta_y[1088]",5455.41667587563,0.0112744210313118,0.783067362564294,5453.86258470864,5454.88691794176,5455.41202319813,5455.93112917101,5457.01007676528,4824.02720899312,0.999553701482682
"delta_y[1089]",5455.12320901364,0.0089189406952359,0.611028726475059,5453.83145485415,5454.75133952216,5455.14738419244,5455.53357172378,5456.29818554885,4693.49872604312,0.99976145359827
"delta_y[1090]",5453.69155357453,0.0103258986576393,0.675048193067821,5452.55520778293,5453.17984970918,5453.66501995375,5454.15353423937,5455.08621820465,4273.79652314647,0.999602739331725
"delta_y[1091]",5454.16562984274,0.0132755599423377,0.945109419370478,5452.59531193874,5453.42665316321,5454.12047365548,5454.8335907585,5456.04276439022,5068.25534556855,1.00008523035613
"delta_y[1092]",5457.22715420313,0.00763901984139933,0.559085543136637,5456.02241622523,5456.86010101621,5457.307273743,5457.68646942267,5458.02218075376,5356.50171970913,1.00011921498443
"delta_y[1093]",5456.26011145957,0.0147145346169971,0.910349974240354,5454.44678338048,5455.62418067942,5456.24965655067,5456.94036506973,5457.91607055626,3827.57497486172,0.9996761793381
"delta_y[1094]",5455.0664313665,0.0140370554608115,0.893446221616711,5453.27469465346,5454.45985724983,5455.08868859529,5455.67427175367,5456.77196369025,4051.21042367575,1.00066431599417
"delta_y[1095]",5454.94153972633,0.0127955983097117,0.875108818956773,5453.13934591307,5454.34835225286,5454.95880320612,5455.55509396134,5456.54779128658,4677.38291748562,1.00037595614292
"delta_y[1096]",5454.96587652287,0.0151102253158227,0.844834908571516,5453.21589074882,5454.4192616596,5454.98845910196,5455.52986264988,5456.55894057671,3126.09247114212,0.999853382234047
"delta_y[1097]",5453.45244758008,0.00863757107136201,0.701113299909977,5452.48807439738,5452.89651665806,5453.33569419555,5453.89644713734,5455.05708649804,6588.60002484634,0.999217417194344
"delta_y[1098]",5454.49046451571,0.0117111191360199,0.743846397097605,5452.95363747414,5453.99584553371,5454.52808301977,5455.00397481138,5455.86117542246,4034.31429906518,1.0004336413532
"delta_y[1099]",5455.04938520116,0.015671581756179,0.946965371780162,5453.12821335595,5454.44389351681,5455.04196420403,5455.6913138381,5456.90179866366,3651.2580800751,0.999793962540015
"delta_y[1100]",5454.25130689784,0.013141123831679,0.903593608318624,5452.6527879729,5453.56204218712,5454.22242736215,5454.89303109115,5456.05748290658,4728.04155483682,0.999366594078512
"delta_y[1101]",5456.77202913223,0.0124838600155509,0.875094684265032,5454.9207067936,5456.15967369357,5456.88658407339,5457.510848767,5458.01649787565,4913.74156296964,1.00009310440575
"delta_y[1102]",5454.94648809393,0.0135615339002032,0.959879985633948,5453.04269940345,5454.27961002845,5454.96575801931,5455.59411427479,5456.83017594564,5009.75220194952,1.00106351389877
"delta_y[1103]",5457.03134867972,0.0099909771822327,0.750733438999968,5455.35171159248,5456.54394669571,5457.17007517822,5457.65149539383,5458.02819646743,5646.19127869021,0.99968788549223
"delta_y[1104]",5456.31251532878,0.0113885800009615,0.743137406955107,5454.87455863805,5455.79590755737,5456.31518750905,5456.83053455609,5457.73263896914,4257.93562992966,0.999327424525718
"delta_y[1105]",5457.039168864,0.0106883492743885,0.699449159632449,5455.57447064724,5456.54245571097,5457.1387411151,5457.6309255914,5458.03560631917,4282.43747576344,0.999277548476751
"delta_y[1106]",5454.0269971237,0.0145302969994568,0.922848222854809,5452.52317851831,5453.3076679777,5453.98485821114,5454.65772240868,5455.90999375556,4033.77414247284,1.00020406042651
"delta_y[1107]",5454.26666386477,0.0124662191092574,0.905717753155256,5452.64549896042,5453.57557237595,5454.23622366838,5454.88926647282,5456.06610101259,5278.56956346216,0.999864041150716
"delta_y[1108]",5454.09210602062,0.0146379277192118,0.988402603603921,5452.53574555886,5453.28734643429,5454.03467130507,5454.78349561057,5456.07446880968,4559.40913284578,0.999710319883102
"delta_y[1109]",5453.99562820487,0.012227705944375,0.891433926666002,5452.54747341851,5453.31225267842,5453.9436872041,5454.63723886303,5455.88028754841,5314.81736240174,0.999492388684482
"delta_y[1110]",5453.36252339767,0.00927824209491659,0.737022297051131,5452.47857931232,5452.76948994796,5453.18882644489,5453.79842571808,5455.12712274965,6310.00717242704,0.999709951693738
"delta_y[1111]",5453.38138092653,0.00947466514694777,0.712250810025245,5452.47825484361,5452.80975977234,5453.22779562203,5453.80821458955,5455.04514311706,5651.16728548658,0.999993826007216
"delta_y[1112]",5457.01831823431,0.0105524975344224,0.75383897742317,5455.34493936852,5456.52092511625,5457.137777951,5457.64361167251,5458.03441051163,5103.24782657091,0.999914992212876
"delta_y[1113]",5457.0225609506,0.011105997002743,0.69573007487075,5455.50057883362,5456.5641338567,5457.10635806023,5457.58795601559,5458.03130236011,3924.33840752112,0.999771209923166
"delta_y[1114]",5456.96535669297,0.00978216152089448,0.736082575316251,5455.37336325771,5456.46116942146,5457.06398104097,5457.57425208898,5458.02117069659,5662.17666043689,0.999437326017218
"delta_y[1115]",5456.95486237019,0.00984858689835538,0.674164429240665,5455.53604421308,5456.49852448889,5457.01132756224,5457.48957513225,5457.99903639562,4685.80084104362,0.999742439438845
"delta_y[1116]",5457.1321863357,0.00901498046161724,0.715577937478696,5455.47209162248,5456.69893066613,5457.27492016015,5457.70592255652,5458.0435604685,6300.63475489121,1.0000404643754
"delta_y[1117]",5455.91442201093,0.0138831302096472,0.883377324875631,5454.20375342455,5455.33142291553,5455.89265859076,5456.52155181765,5457.66119026125,4048.71960610987,0.999465126252319
"delta_y[1118]",5455.76015301444,0.0133858944954462,0.948968352868042,5453.89476706604,5455.13085800032,5455.74277187298,5456.41441689897,5457.60119157021,5025.84005703079,1.00066626654485
"delta_y[1119]",5453.57289421573,0.0104899734600109,0.799526630220933,5452.48989336232,5452.92755237194,5453.43352040792,5454.08968224794,5455.40773644356,5809.21016110203,0.999668374365273
"delta_y[1120]",5453.60920300384,0.00997840856744349,0.653833439890147,5452.53069538488,5453.10266709249,5453.58908810302,5454.05695326434,5454.98016299852,4293.50222806722,0.999475449630858
"delta_y[1121]",5454.79101814154,0.0109547210633009,0.681073897853202,5453.38554878446,5454.34298911085,5454.82524937868,5455.25835578492,5456.07422758226,3865.32330382289,1.00039288349423
"delta_y[1122]",5457.04033510044,0.0101646993057591,0.718383285130077,5455.42909235128,5456.56695362229,5457.15272633423,5457.63571503968,5458.03214871304,4994.86053219849,1.00033331487505
"delta_y[1123]",5454.78198383824,0.0171956911388683,1.08046126417408,5452.64890046239,5454.05482162063,5454.83862336552,5455.52685328366,5456.83500670883,3948.01806503259,1.00085435646626
"delta_y[1124]",5454.24808387861,0.0147565877319704,0.969181283168283,5452.56350768628,5453.51972186166,5454.23964923507,5454.90771668137,5456.1645974372,4313.58289671814,1.00003148746526
"delta_y[1125]",5456.67704307877,0.0128395564067796,0.861932750818818,5454.88627962265,5456.08674393769,5456.75259497297,5457.38498983871,5457.99845245023,4506.57628148871,0.999487119088428
"delta_y[1126]",5455.00363865632,0.0129027729634426,0.863353461914474,5453.21079967405,5454.44418936628,5455.02814053322,5455.584533995,5456.62201344971,4477.24807671105,1.0003887702661
"delta_y[1127]",5455.48203368964,0.00781734284684434,0.526925996421039,5454.43884729921,5455.13177509899,5455.48331830378,5455.83387594766,5456.52312076315,4543.39956663478,1.00009268155036
"delta_y[1128]",5455.53616726034,0.0181462237020584,1.04946939299598,5453.40459068511,5454.84434374671,5455.51274183188,5456.20784890594,5457.70848985381,3344.77596320728,0.999746774144241
"delta_y[1129]",5453.59316023891,0.0108575230249731,0.759681935912787,5452.50278384341,5452.97176115294,5453.48785035536,5454.11022337195,5455.23524306474,4895.5566591955,1.00014158182959
"delta_y[1130]",5454.02725552649,0.0132249469309095,0.845856926227495,5452.57662253141,5453.37094220937,5454.01291484748,5454.61440870869,5455.72826878253,4090.77830207148,1.0004090550777
"delta_y[1131]",5454.25866299145,0.0131821134065326,0.718873789373232,5452.84152208557,5453.76828250191,5454.29054601052,5454.76755214371,5455.61001351824,2973.96060508659,0.999799664641138
"delta_y[1132]",5455.14857170861,0.0115897588090687,0.859305072622231,5453.50675420775,5454.5600744348,5455.12981537588,5455.74053573961,5456.88505511036,5497.25591000435,0.999751403617173
"delta_y[1133]",5457.0495789679,0.0090791826395532,0.761680167944492,5455.31364947991,5456.56539136672,5457.19864881659,5457.67190582962,5458.03306757117,7038.04097025723,0.999893012453133
"delta_y[1134]",5456.61014803835,0.0132546671152757,0.689677585151616,5455.28394539012,5456.1242729699,5456.60170236162,5457.11133604214,5457.89113755002,2707.41339131238,1.00133070163563
"delta_y[1135]",5455.10633587876,0.00913591591730371,0.660191997002999,5453.74127840897,5454.69094608031,5455.10108980188,5455.5345262135,5456.42380931107,5221.99345383648,0.999279464225974
"delta_y[1136]",5457.03273344391,0.00950792668183764,0.757995742513197,5455.27827444203,5456.5391314189,5457.17885826939,5457.65068116176,5458.03002899063,6355.67797252632,0.999847686165975
"delta_y[1137]",5456.66960089041,0.0111064440752311,0.853430257836563,5454.95220010348,5456.05468603676,5456.75086798343,5457.35513595927,5457.98213989444,5904.53912397183,1.00031882229694
"delta_y[1138]",5456.34693985264,0.0137696572846729,0.923208069280715,5454.53921965623,5455.67943815166,5456.35172259563,5457.06643076482,5457.93212175467,4495.24038946993,0.999615055676968
