"rho1","rho2","rho3","loglik2.5","loglik50","loglik97.5","rho0_2.5","rho0_50","rho0_97.5","rho1_2.5","rho1_50","rho1_97.5","rho2_2.5","rho2_50","rho2_97.5","rho3_2.5","rho3_50","rho3_97.5","rhomax_2.5","rhomax_50","rhomax_97.5"
0.2,0.25,-0.1,NA,NA,NA,-0.176953028741976,0.0213549812774445,0.210222446897767,0.0915671393921612,0.195509699700881,0.302887088506756,-0.30401810888753,0.14393960593584,0.556546677077711,-0.26297053824359,-0.100597102802718,0.0441048331757935,1.40554393757246,1.71304030787295,2.08369191090042
0.4,-0.5,-0.05,NA,NA,NA,-0.166668976302277,0.0254095447191338,0.212820113450449,0.246396590430249,0.343225557957536,0.444290144726345,-0.650564276959458,-0.301691937769064,0.0302190780124235,-0.181152691554655,-0.0638890808018394,0.0628181800186275,1.39200191783105,1.63781676646283,1.93751242579155
0.1,0.25,-0.1,NA,NA,NA,-0.174141468241225,0.0225887142983672,0.217018280338459,0.00282712006282155,0.0791368925767912,0.159007982331553,-0.252641964905673,0.151362185643907,0.527158519955209,-0.100230280370501,0.0147745274739615,0.123821174234908,1.35036694973738,1.58868807050395,1.86220386954721
0.1,0.5,0.05,NA,NA,NA,-0.177379664354009,0.0203399739822232,0.215064336678446,-0.0366754439504726,0.0378388972781575,0.113175512590919,0.0603062163955859,0.369158258825732,0.674712478022769,-0.0536234794003526,0.0398134449472347,0.130408132986569,1.35168539145087,1.58075813768637,1.86770572920662
0.3,0,-0.05,NA,NA,NA,-0.173840829147867,0.019218455874354,0.211568061113374,0.139014536039591,0.231704157474175,0.332623834683332,-0.275083863557163,0.0619142285013089,0.40232330528185,-0.100663695851325,0.00943775335393329,0.105563951363984,1.34482165656063,1.60831463816277,1.928183590207
0.4,0,-0.05,NA,NA,NA,-0.170889770057732,0.0246620528770429,0.21464081129417,0.248214469542058,0.340453522071715,0.44529486000801,-0.299975051050798,-0.0612946998719048,0.19777345998953,-0.0946603902374604,-0.0149258700929753,0.0748668232480888,1.35111236609461,1.59282400202327,1.88966073630849
0.5,-0.25,0,NA,NA,NA,-0.151719639242624,0.0385589989435241,0.232701429257756,0.291260115099351,0.39995290016273,0.525609997054113,-0.370431593148741,-0.0982188034706441,0.199090800329028,-0.0824665594937253,0.0361180066110668,0.159970599033644,1.36339976944071,1.61790767647667,1.92405401676196
0.3,-0.5,-0.05,NA,NA,NA,-0.178821798100867,0.0234279845852837,0.227722557924764,0.189973743380889,0.274199049266404,0.371323252729244,-0.60455677089806,-0.296103096504391,-0.000430959531265504,-0.21095639917944,-0.0884120604568367,0.0219530965911102,1.3714551010198,1.60204510830467,1.8877018322757
0.2,0,0,NA,NA,NA,-0.166458762170358,0.0217769087798087,0.211452692912913,0.0944700196482516,0.173060996519375,0.25750357859304,-0.293548439854965,0.0215336727745341,0.363774942385728,-0.0704758959631393,0.0303586078775191,0.131167868113475,1.32001482624455,1.55415438735648,1.8297662867768
0,0,-0.1,NA,NA,NA,-0.168746677516517,0.0151319506803514,0.202743792850313,-0.105484693056003,-0.0273437218525467,0.0468427065648876,0.00273921359093587,0.249498770159628,0.493504076796691,-0.122788881724233,-0.0529899826625222,0.0176521092205026,1.23079687343248,1.44356244257002,1.68833972495546
0.3,0,0.05,NA,NA,NA,-0.164415879770227,0.0277301314153167,0.220828964217694,0.155427506115642,0.244089564642276,0.345089541839709,-0.32200341189502,-0.0455722942667102,0.224142563326157,-0.0603090182308762,0.034752635656007,0.124722887266667,1.38964699653284,1.64031703122769,1.9576523901657
